Listing all pages crawled in BFS order for query: python, for n: 500
URL: http://www.ironpython.net/, time: 2013-02-15T11:12:31.917258, size: 8808 bytes, return code: 200, depth: 2
URL: http://pythonnet.sourceforge.net/, time: 2013-02-15T11:12:32.105820, size: 4239 bytes, return code: 200, depth: 2
URL: http://www.zeroc.com/ice.html, time: 2013-02-15T11:12:32.185117, size: 14611 bytes, return code: 200, depth: 2
URL: http://www.swig.org/, time: 2013-02-15T11:12:32.634590, size: 17903 bytes, return code: 200, depth: 2
URL: http://www.boost.org/libs/python/doc/, time: 2013-02-15T11:12:33.441194, size: 4989 bytes, return code: 200, depth: 2
URL: http://ironpython.net/, time: 2013-02-15T11:12:33.746835, size: 8808 bytes, return code: 200, depth: 2
URL: http://wiki.python.org/moin/BeginnersGuide/Programmers, time: 2013-02-15T11:12:34.725640, size: 19720 bytes, return code: 200, depth: 2
URL: http://wiki.python.org/moin/BeginnersGuide/NonProgrammers, time: 2013-02-15T11:12:35.970949, size: 20760 bytes, return code: 200, depth: 2
URL: http://wiki.python.org/moin/PythonBooks, time: 2013-02-15T11:12:36.334230, size: 12056 bytes, return code: 200, depth: 2
URL: http://www.pyarkansas.org/, time: 2013-02-15T11:12:36.586302, size: 18365 bytes, return code: 200, depth: 2
URL: http://pythonorg-redesign.readthedocs.org/, time: 2013-02-15T11:12:38.623199, size: 33344 bytes, return code: 200, depth: 2
URL: http://dyn.com/, time: 2013-02-15T11:12:40.411500, size: 26977 bytes, return code: 200, depth: 2
URL: http://wiki.python.org/moin/BeginnersGuide, time: 2013-02-15T11:12:40.827060, size: 21803 bytes, return code: 200, depth: 2
URL: http://guide.python-distribute.org/, time: 2013-02-15T11:12:43.364267, size: 10345 bytes, return code: 200, depth: 2
URL: http://wiki.python.org/moin/PythonPeriodicals, time: 2013-02-15T11:12:45.555617, size: 9280 bytes, return code: 200, depth: 2
URL: http://mail.python.org/, time: 2013-02-15T11:14:07.494437, size: 26010 bytes, return code: 200, depth: 2
URL: http://wiki.python.org/, time: 2013-02-15T11:14:12.452561, size: 2993 bytes, return code: 200, depth: 2
URL: http://planet.python.org/, time: 2013-02-15T11:14:14.837920, size: 180946 bytes, return code: 200, depth: 2
URL: http://us.pycon.org/, time: 2013-02-15T11:14:21.393359, size: 97171 bytes, return code: 200, depth: 2
URL: http://www.activestate.com/python, time: 2013-02-15T11:14:44.324071, size: 46628 bytes, return code: 200, depth: 2
URL: http://www.activestate.com, time: 2013-02-15T11:14:47.426196, size: 43700 bytes, return code: 200, depth: 2
URL: http://www.asti-usa.com, time: 2013-02-15T11:14:47.529553, size: 10742 bytes, return code: 200, depth: 2
URL: http://www.arraybiopharma.com, time: 2013-02-15T11:14:47.906898, size: 28218 bytes, return code: 200, depth: 2
URL: http://www.bizrate.com, time: 2013-02-15T11:14:48.177196, size: 36743 bytes, return code: 200, depth: 2
URL: http://www.canonical.com, time: 2013-02-15T11:14:49.159796, size: 34031 bytes, return code: 200, depth: 2
URL: http://www.ccpgames.com, time: 2013-02-15T11:14:50.285887, size: 14278 bytes, return code: 200, depth: 2
URL: http://www.cpacket.com, time: 2013-02-15T11:14:50.926519, size: 7629 bytes, return code: 200, depth: 2
URL: http://www.earnmydegree.com, time: 2013-02-15T11:14:51.540990, size: 44523 bytes, return code: 200, depth: 2
URL: http://www.enthought.com, time: 2013-02-15T11:14:51.667862, size: 19851 bytes, return code: 200, depth: 2
URL: http://www.exoweb.net/, time: 2013-02-15T11:14:51.915632, size: 28 bytes, return code: 200, depth: 2
URL: http://www.globo.com, time: 2013-02-15T11:14:53.418488, size: 217870 bytes, return code: 200, depth: 2
URL: http://www.hitmeister.de, time: 2013-02-15T11:14:54.325252, size: 53135 bytes, return code: 200, depth: 2
URL: http://www.hood.de/, time: 2013-02-15T11:14:55.165782, size: 53040 bytes, return code: 200, depth: 2
URL: http://www.ironport.com, time: 2013-02-15T11:14:56.352132, size: 31584 bytes, return code: 200, depth: 2
