Listing all pages crawled in BFS order for query: searchengines, for n: 500
URL: http://local.search.yahoo.com/;_ylt=A0oG7poXhyFR9HQAxnJHEL0F?ei=UTF-8&fr2=tab-shop&fr=altavista, time: 2013-02-17T20:44:04.363322, size: 11604 bytes, return code: 200, depth: 2
URL: http://search.yahoo.com/web;_ylt=A0oG7poXhyFR9HQAw3JHEL0F?ei=UTF-8&fr2=tab-shop&fr=altavista, time: 2013-02-17T20:44:04.363365, size: 12461 bytes, return code: 200, depth: 2
URL: http://sports.search.yahoo.com/;_ylt=A0oG7poXhyFR9HQAy3JHEL0F?ei=UTF-8&fr2=tab-shop&fr=altavista, time: 2013-02-17T20:44:04.540320, size: 11616 bytes, return code: 200, depth: 2
URL: http://blog.search.yahoo.com/;_ylt=A0oG7poXhyFR9HQAzXJHEL0F?ei=UTF-8&fr2=tab-shop&fr=altavista, time: 2013-02-17T20:44:04.555523, size: 11569 bytes, return code: 200, depth: 2
URL: http://finance.search.yahoo.com/;_ylt=A0oG7poXhyFR9HQAzHJHEL0F?ei=UTF-8&fr2=tab-shop&fr=altavista, time: 2013-02-17T20:44:04.562159, size: 13285 bytes, return code: 200, depth: 2
URL: http://answers.yahoo.com/;_ylt=A0oG7poXhyFR9HQAyHJHEL0F?ei=UTF-8&fr2=tab-shop&fr=altavista, time: 2013-02-17T20:44:04.802151, size: 83526 bytes, return code: 200, depth: 2
URL: http://search.yahoo.com/r/_ylt=A0oG7poXhyFR9HQAznJHEL0F/SIG=129ndi46l/EXP=1361180567/**http%3a//tools.search.yahoo.com/about/forsearchers.html, time: 2013-02-17T20:44:05.268250, size: 12873 bytes, return code: 200, depth: 2
URL: http://www.dogpile.com/support/metasearch, time: 2013-02-17T20:44:05.589105, size: 20359 bytes, return code: 200, depth: 2
URL: http://www.youtube.com/blucora, time: 2013-02-17T20:44:05.976103, size: 60267 bytes, return code: 200, depth: 2
URL: http://twitter.com/#!/blucora/, time: 2013-02-17T20:44:06.627166, size: 74140 bytes, return code: 200, depth: 2
URL: http://investor.blucora.com/index.cfm, time: 2013-02-17T20:44:07.429992, size: 32343 bytes, return code: 200, depth: 2
URL: http://investor.blucora.com/financials.cfm, time: 2013-02-17T20:44:07.573758, size: 38770 bytes, return code: 200, depth: 2
URL: http://investor.blucora.com/faq.cfm, time: 2013-02-17T20:44:08.062470, size: 41563 bytes, return code: 200, depth: 2
URL: http://tbe.taleo.net/NA2/ats/careers/jobSearch.jsp?org=INFOSPACE&cws=1, time: 2013-02-17T20:44:08.652390, size: 42330 bytes, return code: 200, depth: 2
URL: http://apps.search.yahoo.com/?ei=UTF-8&fr2=tab-web&fr=altavista, time: 2013-02-17T20:44:09.127391, size: 119776 bytes, return code: 200, depth: 2
