Listing all pages crawled in BFS order for query: C, for n: 500
URL: http://finance.yahoo.com/etf/, time: 2013-02-17T20:06:46.646154, size: 136731 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/futures, time: 2013-02-17T20:06:47.022654, size: 54860 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/news/rssindex/, time: 2013-02-17T20:06:48.030633, size: 239038 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/lifestyle/, time: 2013-02-17T20:06:49.581812, size: 182258 bytes, return code: 200, depth: 1
URL: http://googlefinanceblog.blogspot.com?ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:50.468627, size: 127941 bytes, return code: 200, depth: 1
URL: http://archive.adaic.com/docs/reports/lawlis/k.htm, time: 2013-02-17T20:06:50.995561, size: 12891 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/glossary/, time: 2013-02-17T20:06:51.065404, size: 136526 bytes, return code: 200, depth: 1
URL: http://www.open-std.org/jtc1/sc22/wg14/www/standards, time: 2013-02-17T20:06:51.869227, size: 3310 bytes, return code: 200, depth: 1
URL: http://www.open-std.org/jtc1/sc22/wg14/www/docs/summary.htm, time: 2013-02-17T20:06:52.342416, size: 8313 bytes, return code: 200, depth: 1
URL: http://www.fortunecouncil.com, time: 2013-02-17T20:06:52.519507, size: 10001 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/services/closed-captioning.html, time: 2013-02-17T20:06:52.531383, size: 22478 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/termsheet/, time: 2013-02-17T20:06:52.798653, size: 56216 bytes, return code: 200, depth: 1
URL: http://www.cminusminus.org/faq.html#notypes, time: 2013-02-17T20:06:52.932521, size: 13952 bytes, return code: 200, depth: 1
URL: http://gcc.gnu.org/, time: 2013-02-17T20:06:53.234378, size: 17351 bytes, return code: 200, depth: 1
URL: http://seekingalpha.com/article/1188961-banks-might-be-a-good-buy-citi-is-a-great-one?source=marketwatch, time: 2013-02-17T20:06:54.057856, size: 58689 bytes, return code: 200, depth: 1
URL: http://online.barrons.com/article/SB50001424052748704852604578306080508823700.html?mod=BOLFeed, time: 2013-02-17T20:06:54.360491, size: 90831 bytes, return code: 200, depth: 1
URL: http://billing.finance.yahoo.com/realtime_quotes/signup?.src=quote&.refer=nb, time: 2013-02-17T20:06:55.200024, size: 22167 bytes, return code: 200, depth: 1
URL: http://seekingalpha.com/article/1185451-the-trend-is-your-friend-with-financial-stocks?source=marketwatch, time: 2013-02-17T20:06:55.439068, size: 53111 bytes, return code: 200, depth: 1
URL: http://www.thestreet.com/story/11842652/1/citigroups-tax-benefit-at-55-billion-and-rising-raises-questions-and-causes-concerns.html?puc=TSMKTWATCH&cm_ven=TSMKTWATCH, time: 2013-02-17T20:06:55.583256, size: 80367 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/companies-with-the-best-and-worst-reputations-2013-02-15, time: 2013-02-17T20:06:55.893181, size: 121637 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/blogs/, time: 2013-02-17T20:06:56.201275, size: 170602 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/blogs/breakout/, time: 2013-02-17T20:06:57.047768, size: 178016 bytes, return code: 200, depth: 1
URL: http://support.google.com/finance?hl=en&ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:57.267035, size: 45915 bytes, return code: 200, depth: 1
URL: http://www.google.com/intl/en/policies/privacy/?ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:58.000743, size: 23374 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/blogs/daily-ticker/, time: 2013-02-17T20:06:58.280646, size: 162293 bytes, return code: 200, depth: 1
URL: http://finance.yahoo.com/blogs/the-exchange/, time: 2013-02-17T20:06:58.457138, size: 190665 bytes, return code: 200, depth: 1
